evi,nbr,ndmi,ndvi,ndwi,year,restoration_event
0.1460160897904569,0.08615794827925402,-0.09234969759261137,0.2650291741417511,-0.33706103434398815,1984,
0.12224809313891663,0.005421317750687107,-0.13938150343044678,0.221810007999623,-0.30392616450969223,1985,
0.12224231066918098,0.023921778802813414,-0.11953609945241754,0.2212496886905079,-0.30213001059747624,1986,
0.1068651571056202,-0.0294345860193216,-0.16097348946751114,0.20189377639171874,-0.2749888022931762,1987,
0.12048567769243518,0.011853554803780364,-0.12845743211313565,0.21944562165645407,-0.2987209041288908,1988,
0.11096269429444898,0.01568847121529034,-0.1314161347409969,0.20824121453406763,-0.2908266538142447,1989,
0.10733334748410159,-0.04125542437348378,-0.16338748034292758,0.20146092580923125,-0.2718597330523246,1990,
0.1038670694982543,-0.015033650995425097,-0.13203905575352332,0.19988280407858233,-0.27609303209891567,1991,
0.09990402142658131,-0.029832940957508963,-0.14816871717114638,0.18691828097151447,-0.2601583186556337,1992,
0.15425311514606782,0.09649837100698146,-0.06083600777200264,0.27488004242262126,-0.33943027346157384,1993,
0.11898083302991729,0.015187781126986623,-0.12590805663636295,0.2140975670178212,-0.2910447178266875,1994,
0.13440617670702804,0.0763997983210891,-0.08537348474721876,0.25044599645282056,-0.32393752466506065,1995,
0.12237485942335109,0.03875518866971256,-0.12567383505191368,0.22783839213469267,-0.31533138933479576,1996,
0.1308055419731852,0.014897264752662558,-0.13338665505058253,0.24569671112743735,-0.3129389745088391,1997,
0.1291471891218847,0.05492649271562303,-0.11418493614006502,0.23322674455637243,-0.3160651587007966,1998,
0.11716932729564064,0.011795777748564539,-0.14359637939128664,0.2103510292671077,-0.3119408357387813,1999,
0.09643247986391089,-0.03028694681697319,-0.16044809997737988,0.1868436601746622,-0.2855701996294758,2000,
0.09286020114279904,-0.06923517238999713,-0.19577253745782966,0.18168589523969012,-0.2673301602209022,2001,
0.10487099250691771,-0.046512381865019464,-0.17096252406584642,0.19275062570878207,-0.27699990456692064,2002,
0.10737896324275896,0.005997075763154164,-0.13867623046619418,0.20015364911514824,-0.29393439082924544,2003,
0.11457548602754253,0.011242916194845225,-0.14064575725757286,0.21359361201861185,-0.3009384553598503,2004,
0.10602315662013974,-0.013657083484705559,-0.1580374433991097,0.20342907380989975,-0.29913917986197985,2005,
0.12515159095269898,0.021294810935731504,-0.13354516504199787,0.23308954419879493,-0.3244109412791194,2006,
0.10837600629455492,0.017224260323378576,-0.1442704418695635,0.20483990145314182,-0.29649768932773635,2007,
0.10695144512570716,-0.016356318351527656,-0.1619894887403685,0.20283512709552565,-0.29279167543014517,2008,
0.1001210173011215,-0.035642098334657396,-0.17478398182130744,0.18546498364721056,-0.2741454263624236,2009,
0.13146673694439787,0.06445836284228272,-0.1056588433919171,0.24183638589480247,-0.3264987934628274,2010,
0.1214946759820826,0.03403390211783632,-0.13789412753202365,0.2263563684038178,-0.3137133358393796,2011,
0.114743748821886,0.02898470253792634,-0.1274949786909642,0.20608946385906418,-0.3078737478429388,2012,
0.11726372006165084,-0.0395946696970234,-0.1673540710322574,0.2335772601214169,-0.3206786046725018,2013,
0.12296489273423111,0.017873680464637928,-0.13469081580733383,0.23639010369900154,-0.3363198900839161,2014,
0.11030518337639464,0.004074789951064433,-0.1546046883862339,0.20310169005097986,-0.30161656244350654,2015,
0.12126055327971837,-0.010498614363401902,-0.14788695916463898,0.23542823586144726,-0.32063533188331594,2016,
0.12914246971849627,-0.01282907807906739,-0.13600866170718268,0.24040740740082311,-0.3383200143240213,2017,
0.11454649384639332,-0.008640171769043171,-0.14192523103285873,0.21277070388111677,-0.3211980348723516,2018,
0.14340460912262754,0.05584184810607364,-0.09792487452782739,0.26455195532763554,-0.35806697659077297,2019,
0.11439709969147047,-0.0282480467276179,-0.1629072837151411,0.22105125711779725,-0.317899036137499,2020,
0.11928527072241676,0.01750802676874113,-0.1283256484571449,0.22371444236102567,-0.32175481385343635,2021,
0.13346936314097693,0.03256434144571417,-0.11177723628230919,0.2541415100367913,-0.35906478318890994,2022,
0.13577299399963716,0.05992460139935268,-0.1080697692222463,0.2492003471786668,-0.3629988920352824,2023,
0.14595600946484433,0.07969468890133177,-0.09926074068993224,0.262094889000177,-0.3735648235874651,2024,
0.14798189954093247,0.0753051809346081,-0.10930805237988386,0.2744806455667684,-0.37554769193790216,2025,
